Number,Address,List Date,Price,Days on market,Total floor area,Year Built,Age,Lot Size
1292,E 6TH AVENUE,1/10/2020,1425000,24,2090,1969,51,4026.0
1293,E 19TH AVENUE,10/8/2019,1909750,12,2100,2013,6,3019.5
1294,E 12TH AVENUE,3/25/2020,1050000,22,2200,1912,108,4092.0
1295,INVERNESS STREET,4/1/2019,1180000,279,1840,1910,110,3383.0
1296,E 24TH AVENUE,9/16/2019,1375000,12,2337,1948,71,4026.0
1297,E 22ND AVENUE,1/22/2020,1930000,22,4272,1928,92,5696.17
1298,W KING EDWARD AVENUE,8/22/2019,2630000,42,3035,1939,80,7456.0
1299,E 52ND AVENUE,8/17/2019,1450000,14,2282,1974,45,3993.0
1300,PRINCE ALBERT STREET,2/24/2020,2798000,4,3501,2016,4,3960.0
1301,MILLER STREET,4/5/2019,900000,194,2440,1912,107,3297.0
1302,E 39TH AVENUE,3/3/2020,1600000,7,2627,1974,46,4697.0
